ID,Name
011k07,Tortoise
011q46kg,Container
012074,Magpie
0120dh,Sea turtle
01226z,Football
012n7d,Ambulance
012w5l,Ladder
012xff,Toothbrush
012ysf,Syringe
0130jx,Sink
0138tl,Toy
013y1f,Organ (Musical Instrument)
01432t,Cassette deck
014j1m,Apple
014sv8,Human eye
014trl,Cosmetics
014y4n,Paddle
0152hh,Snowman
01599,Beer
01_5g,Chopsticks
015h_t,Human beard
015p6,Bird
015qbp,Parking meter
015qff,Traffic light
015wgc,Croissant
015x4r,Cucumber
015x5n,Radish
0162_1,Towel
0167gd,Doll
016m2d,Skull
0174k2,Washing machine
0174n1,Glove
0175cv,Tick
0176mf,Belt
017ftj,Sunglasses
018j2,Banjo
018p4k,Cart
018xm,Ball
01940j,Backpack
0199g,Bicycle
019dx1,Home appliance
019h78,Centipede
019jd,Boat
019w40,Surfboard
01b638,Boot
01b7fy,Headphones
01b9xk,Hot dog
01bfm9,Shorts
01_bhs,Fast food
01bjv,Bus
01bl7v,Boy
01bms0,Screwdriver
01bqk0,Bicycle wheel
01btn,Barge
01c648,Laptop
01cmb2,Miniskirt
01d380,Drill (Tool)
01d40f,Dress
01dws,Bear
01dwsz,Waffle
01dwwc,Pancake
01dxs,Brown bear
01dy8n,Woodpecker
01f8m5,Blue jay
01f91_,Pretzel
01fb_0,Bagel
01fdzj,Tower
01fh4r,Teapot
01g317,Person
01g3x7,Bow and arrow
01gkx_,Swimwear
01gllr,Beehive
01gmv2,Brassiere
01h3n,Bee
01h44,Bat (Animal)
01h8tj,Starfish
01hrv5,Popcorn
01j3zr,Burrito
01j4z9,Chainsaw
01j51,Balloon
01j5ks,Wrench
01j61q,Tent
01jfm_,Vehicle registration plate
01jfsr,Lantern
01k6s3,Toaster
01kb5b,Flashlight
01knjb,Billboard
01krhy,Tiara
01lcw4,Limousine
01llwg,Necklace
01lrl,Carnivore
01lsmm,Scissors
01lynh,Stairs
01m2v,Computer keyboard
01m4t,Printer
01mqdt,Traffic sign
01mzpv,Chair
01n4qj,Shirt
01n5jq,Poster
01nkt,Cheese
01nq26,Sock
01pns0,Fire hydrant
01prls,Land vehicle
01r546,Earrings
01rkbr,Tie
01rzcn,Watercraft
01s105,Cabinetry
01s55n,Suitcase
01tcjp,Muffin
01vbnl,Bidet
01ww8y,Snack
01x3jk,Snowmobile
01x3z,Clock
01xgg_,Medical equipment
01xq0k1,Cattle
01xqw,Cello
01xs3r,Jet ski
01x_v,Camel
01xygc,Coat
01xyhv,Suit
01y9k5,Desk
01yrx,Cat
01yx86,Bronze sculpture
01z1kdw,Juice
02068x,Gondola
020jm,Beetle
020kz,Cannon
020lf,Computer mouse
021mn,Cookie
021sj1,Office building
0220r2,Fountain
0242l,Coin
024d2,Calculator
024g6,Cocktail
02522,Computer monitor
025dyy,Box
025fsf,Stapler
025nd,Christmas tree
025rp__,Cowboy hat
0268lbt,Hiking equipment
026qbn5,Studio couch
026t6,Drum
0270h,Dessert
0271qf7,Wine rack
0271t,Drink
027pcv,Zucchini
027rl48,Ladle
0283dt1,Human mouth
0284d,Dairy Product
029b3,Dice
029bxz,Oven
029tx,Dinosaur
02bm9n,Ratchet (Device)
02crq1,Couch
02ctlc,Cricket ball
02cvgx,Winter melon
02d1br,Spatula
02d9qx,Whiteboard
02ddwp,Pencil sharpener
02dgv,Door
02dl1y,Hat
02f9f_,Shower
02fh7f,Eraser
02fq_6,Fedora
02g30s,Guacamole
02gzp,Dagger
02h19r,Scarf
02hj4,Dolphin
02jfl0,Sombrero
02jnhm,Tin can
02jvh9,Mug
02jz0l,Tap
02l8p9,Harbor seal
02lbcq,Stretcher
02mqfb,Can opener
02_n6y,Goggles
02p0tk3,Human body
02p3w7d,Roller skates
02p5f1q,Coffee cup
02pdsw,Cutting board
02pjr4,Blender
02pkr5,Plumbing fixture
02pv19,Stop sign
02rdsp,Office supplies
02rgn06,Volleyball (Ball)
02s195,Vase
02tsc9,Slow cooker
02vkqh8,Wardrobe
02vqfm,Coffee
02vwcm,Whisk
02w3r3,Paper towel
02w3_ws,Personal care
02wbm,Food
02wbtzl,Sun hat
02wg_p,Tree house
02wmf,Flying disc
02wv6h6,Skirt
02wv84t,Gas stove
02x8cch,Salt and pepper shakers
02x984l,Mechanical fan
02xb7qb,Face powder
02xqq,Fax
02xwb,Fruit
02y6n,French fries
02z51p,Nightstand
02zn6n,Barrel
02zt3,Kite
02zvsm,Tart
030610,Treadmill
0306r,Fox
03120,Flag
0319l,French horn
031b6r,Window blind
031n1,Human foot
0323sq,Golf cart
032b3c,Jacket
033cnk,Egg (Food)
033rq4,Street light
0342h,Guitar
034c16,Pillow
035r7c,Human leg
035vxb,Isopod
0388q,Grape
039xj_,Human ear
03bbps,Power plugs and sockets
03bj1,Panda
03bk1,Giraffe
03bt1vf,Woman
03c7gz,Door handle
03d443,Rhinoceros
03dnzn,Bathtub
03fj2,Goldfish
03fp41,Houseplant
03fwl,Goat
03g8mr,Baseball bat
03grzl,Baseball glove
03hj559,Mixing bowl
03hl4l9,Marine invertebrates
03hlz0c,Kitchen utensil
03jbxj,Light switch
03jm5,House
03k3r,Horse
03kt2w,Stationary bicycle
03l9g,Hammer
03ldnb,Ceiling fan
03m3pdh,Sofa bed
03m3vtv,Adhesive tape
03m5k,Harp
03nfch,Sandal
03p3bw,Bicycle helmet
03q5c7,Saucer
03q5t,Harpsichord
03q69,Human hair
03qhv5,Heater
03qjg,Harmonica
03qrc,Hamster
03rszm,Curtain
03ssj5,Bed
03s_tn,Kettle
03tw93,Fireplace
03txqz,Scale
03v5tg,Drinking straw
03vt0,Insect
03wvsk,Hair dryer
03_wxk,Kitchenware
03wym,Indoor rower
03xxp,Invertebrate
03y6mg,Food processor
03__z0,Bookcase
040b_t,Refrigerator
04169hn,Wood-burning stove
0420v5,Punching bag
043nyj,Common fig
0440zs,Cocktail shaker
0449p,Jaguar (Animal)
044r5d,Golf ball
0463sg,Fashion accessory
046dlr,Alarm clock
047j0r,Filing cabinet
047v4b,Artichoke
04bcr3,Table
04brg2,Tableware
04c0y,Kangaroo
04cp_,Koala
04ctx,Knife
04dr76w,Bottle
04f5ws,Bottle opener
04g2r,Lynx
04gth,Lavender (Plant)
04h7h,Lighthouse
04h8sr,Dumbbell
04hgtk,Human head
04kkgm,Bowl
04lvq_,Humidifier
04m6gz,Porch
04m9y,Lizard
04p0qw,Billiard table
04rky,Mammal
04rmv,Mouse
04_sv,Motorcycle
04szw,Musical instrument
04tn4x,Swim cap
04v6l4,Frying pan
04vv5k,Snowplow
04y4h8h,Bathroom cabinet
04ylt,Missile
04yqq2,Bust
04yx4,Man
04z4wx,Waffle iron
04zpv,Milk
04zwwv,Ring binder
050gv4,Plate
050k8,Mobile phone
052lwg6,Baked goods
052sf,Mushroom
05441v,Crutch
054fyh,Pitcher (Container)
054_l,Mirror
054xkw,Personal flotation device
05_5p_0,Table tennis racket
05676x,Pencil case
057cc,Musical keyboard
057p5t,Scoreboard
0584n8,Briefcase
058qzx,Kitchen knife
05bm6,Nail (Construction)
05ctyq,Tennis ball
05gqfk,Plastic bag
05kms,Oboe
05kyg_,Chest of drawers
05n4y,Ostrich
05r5c,Piano
05r655,Girl
05s2s,Plant
05vtc,Potato
05w9t9,Hair spray
05y5lj,Sports equipment
05z55,Pasta
05z6w,Penguin
05zsy,Pumpkin
061_f,Pear
061hd_,Infant bed
0633h,Polar bear
063rgb,Mixer
0642b4,Cupboard
065h6l,Jacuzzi
0663v,Pizza
06_72j,Digital clock
068zj,Pig
06bt6,Reptile
06c54,Rifle
06c7f7,Lipstick
06_fw,Skateboard
06j2d,Raven
06k2mb,High heels
06l9r,Red panda
06m11,Rose
06mf6,Rabbit
06msq,Sculpture
06ncr,Saxophone
06nrc,Shotgun
06nwz,Seafood
06pcq,Submarine sandwich
06__v,Snowboard
06y5r,Sword
06z37_,Picture frame
07030,Sushi
0703r8,Loveseat
071p9,Ski
071qp,Squirrel
073bxn,Tripod
073g6,Stethoscope
074d1,Submarine
0755b,Scorpion
076bq,Segway
076lb9,Training bench
078jl,Snake
078n6m,Coffee table
079cl,Skyscraper
07bgp,Sheep
07c52,Television
07c6l,Trombone
07clx,Tea
07cmd,Tank
07crc,Taco
07cx4,Telephone
07dd4,Torch
07dm6,Tiger
07fbm7,Strawberry
07gql,Trumpet
07j7r,Tree
07j87,Tomato
07jdr,Train
07k1x,Tool
07kng9,Picnic basket
07mcwg,Cooking spray
07mhn,Trousers
07pj7bq,Bowling equipment
07qxg_,Football helmet
07r04,Truck
07v9_z,Measuring cup
07xyvk,Coffeemaker
07y_7,Violin
07yv9,Vehicle
080hkjn,Handbag
080n7g,Paper cutter
081qc,Wine
083kb,Weapon
083wq,Wheel
084hf,Worm
084rd,Wok
084zz,Whale
0898b,Zebra
08dz3q,Auto part
08hvt4,Jug
08ks85,Pizza cutter
08p92x,Cream
08pbxl,Monkey
096mb,Lion
09728,Bread
099ssp,Platter
09b5t,Chicken
09csl,Eagle
09ct_,Helicopter
09d5_,Owl
09ddx,Duck
09dzg,Turtle
09f20,Hippopotamus
09f_2,Crocodile
09g1w,Toilet
09gtd,Toilet paper
09gys,Squid
09j2d,Clothing
09j5n,Footwear
09k_b,Lemon
09kmb,Spider
09kx5,Deer
09ld4,Frog
09qck,Banana
09rvcxw,Rocket
09tvcd,Wine glass
0b3fp9,Countertop
0bh9flk,Tablet computer
0bjyj5,Waste container
0b_rs,Swimming pool
0bt9lr,Dog
0bt_c3,Book
0bwd_0j,Elephant
0by6g,Shark
0c06p,Candle
0c29q,Leopard
0c2jj,Axe
0c3m8g,Hand dryer
0c3mkw,Soap dispenser
0c568,Porcupine
0c9ph5,Flower
0ccs93,Canary
0cd4d,Cheetah
0cdl1,Palm tree
0cdn1,Hamburger
0cffdh,Maple
0cgh4,Building
0ch_cf,Fish
0cjq5,Lobster
0cjs7,Garden Asparagus
0c_jw,Furniture
0cl4p,Hedgehog
0cmf2,Airplane
0cmx8,Spoon
0cn6p,Otter
0cnyhnx,Bull
0_cp5,Oyster
0cqn2,Horizontal bar
0crjs,Convenience store
0ct4f,Bomb
0cvnqh,Bench
0cxn2,Ice cream
0cydv,Caterpillar
0cyf8,Butterfly
0cyfs,Parachute
0cyhj_,Orange
0czz2,Antelope
0d20w4,Beaker
0d_2m,Moths and butterflies
0d4v4,Window
0d4w1,Closet
0d5gx,Castle
0d8zb,Jellyfish
0dbvp,Goose
0dbzx,Mule
0dftk,Swan
0dj6p,Peach
0djtd,Coconut
0dkzw,Seat belt
0dq75,Raccoon
0_dqb,Chisel
0dt3t,Fork
0dtln,Lamp
0dv5r,Camera
0dv77,Squash (Plant)
0dv9c,Racket
0dzct,Human face
0dzf4,Human arm
0f4s2w,Vegetable
0f571,Diaper
0f6nr,Unicycle
0f6wt,Falcon
0f8s22,Chime
0f9_l,Snail
0fbdv,Shellfish
0fbw6,Cabbage
0fj52s,Carrot
0fldg,Mango
0fly7,Jeans
0fm3zh,Flowerpot
0fp6w,Pineapple
0fqfqc,Drawer
0fqt361,Stool
0frqm,Envelope
0fszt,Cake
0ft9s,Dragonfly
0ftb8,Common sunflower
0fx9l,Microwave oven
0fz0h,Honeycomb
0gd2v,Marine mammal
0gd36,Sea lion
0gj37,Ladybug
0gjbg72,Shelf
0gjkl,Watch
0gm28,Candy
0grw1,Salad
0gv1x,Parrot
0gxl3,Handgun
0h23m,Sparrow
0h2r6,Van
0h8jyh6,Grinder
0h8kx63,Spice rack
0h8l4fh,Light bulb
0h8lkj8,Corded phone
0h8mhzd,Sports uniform
0h8my_4,Tennis racket
0h8mzrc,Wall clock
0h8n27j,Serving tray
0h8n5zk,Kitchen & dining room table
0h8n6f9,Dog bed
0h8n6ft,Cake stand
0h8nm9j,Cat furniture
0h8nr_l,Bathroom accessory
0h8nsvg,Facial tissue holder
0h8ntjv,Pressure cooker
0h99cwc,Kitchen appliance
0h9mv,Tire
0hdln,Ruler
0hf58v5,Luggage and bags
0hg7b,Microphone
0hkxq,Broccoli
0hnnb,Umbrella
0hnyx,Pastry
0hqkz,Grapefruit
0j496,Band-aid
0jbk,Animal
0jg57,Bell pepper
0jly1,Turkey
0jqgx,Lily
0jwn_,Pomegranate
0jy4k,Doughnut
0jyfg,Glasses
0k0pj,Human nose
0k1tl,Pen
0_k2,Ant
0k4j,Car
0k5j,Aircraft
0k65p,Human hand
0km7z,Skunk
0kmg4,Teddy bear
0kpqd,Watermelon
0kpt_,Cantaloupe
0ky7b,Dishwasher
0l14j_,Flute
0l3ms,Balance beam
0l515,Sandwich
0ll1f78,Shrimp
0llzx,Sewing machine
0lt4_,Binoculars
0m53l,Rays and skates
0mcx2,Ipod
0mkg,Accordion
0mw_6,Willow
0n28_,Crab
0nl46,Crown
0nybt,Seahorse
0p833,Perfume
0pcr,Alpaca
0pg52,Taxi
0ph39,Canoe
0qjjc,Remote control
0qmmr,Wheelchair
0wdt60w,Rugby ball
0xfy,Armadillo
0xzly,Maracas
0zvk5,Helmet
